edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	csr_title	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E02377	79910	7010701022392	マミヤ・オーピー株式会社	2018	FY	2019-06-28	2018-04-01	2019-03-31	S100GDQO	有価証券報告書－第77期(平成30年4月1日－平成31年3月31日)			1	2	15	12	9358670.0	1.38779996E10	7.69E8	7.5E8	4.24E8	2.55759995E10	1.37679995E10	1.37240003E10	4.33E8	50.0	46.55	1581.4			2.62369997E10	1.41225001E10	1.40830003E10		3.01	2.86	5.54	5.4	53.66	102.12	3.07	1201.0	1228.0	763.0	1060.0	1036.8
E02378	79360	8140001005877	株式会社アシックス	2018	FY	2019-03-29	2018-01-01	2018-12-31	S100FIYS	有価証券報告書－第65期(平成30年1月1日－平成30年12月31日)																																1957.0	2122.0	1300.0	1485.0	1679.0
E02379	59430	6140001010383	株式会社ノーリツ	2018	FY	2019-03-28	2018-01-01	2018-12-31	S100FI6Z	有価証券報告書－第69期(平成30年1月1日－平成30年12月31日)	株式会社ノーリツ	http://csr-toshokan.net/ln_book/noritz-2019/download.pdf																														1933.0	2093.0	1406.0	1728.0	1736.9166666666667
E02380	73130	8030001044928	テイ・エス　テック株式会社	2018	FY	2019-06-24	2018-04-01	2019-03-31	S100G4G8	有価証券報告書－第73期(平成30年4月1日－平成31年3月31日)			1	1	17	12	6.8E7	4.12071985E11	3.8792999E10	4.1407001E10	2.57499996E10	3.58264996E11	2.77424013E11	2.55617008E11	5.7110001E9	84.0	378.7	3759.21			3.55104489E11	2.68674007E11	2.45602992E11		10.48	11.66	9.41	10.05	71.35	22.18	2.13	4230.0	5210.0	2775.0	3185.0	3819.1666666666665
E02381	64540	2010001057739	マックス株式会社	2018	FY	2019-06-26	2018-04-01	2019-03-31	S100G3XX	有価証券報告書－第88期(平成30年4月1日－平成31年3月31日)			1	1	15	12	4.9141424E7	7.0117999E10	7.1500001E9	7.2530002E9	5.064E9	9.8174001E10	7.3950003E10	7.3840001E10	2.15100006E9	44.0	102.92	1509.8			9.7153499E10	7.2761999E10	7.2653496E10		6.97	7.47	10.2	10.34	75.21	42.48	2.96	1358.0	1735.0	1194.0	1628.0	1420.6666666666667
E02382	79900	5012701003630	グローブライド株式会社	2018	FY	2019-06-27	2018-04-01	2019-03-31	S100G7P9	有価証券報告書－第64期(平成30年4月1日－平成31年3月31日)			1	1	19	12	1.2E7	8.7810998E10	3.81799987E9	3.272E9	2.95900006E9	7.4343997E10	2.32649994E10	2.31240008E10	6.89E8	60.0	257.63	2013.32			7.4511E10	2.31920005E10	2.30455009E10		12.84	4.39	4.35	3.73	31.1	23.28	2.97	2613.0	4415.0	2116.0	2626.0	2965.0
E02383	79800	6011501017030	株式会社　重松製作所	2018	FY	2019-06-28	2018-04-01	2019-03-31	S100G8Y6	有価証券報告書－第73期(平成30年4月1日－平成31年3月31日)			0	6	19	12	7200000.0	1.07469998E10	9.2E7	9.0E7	4.6E7	1.17720003E10	4.7350001E9	4.7350001E9	7.1E7	10.0	6.58	665.92			1.19219999E10	4.7594998E9	4.7594998E9		0.97	0.75	0.86	0.84	40.22	154.35	1.49	792.0	997.0	568.0	705.0	729.1666666666666
E02385	79850	7011001018214	ネポン株式会社	2018	FY	2019-06-27	2018-04-01	2019-03-31	S100GBJS	有価証券報告書－第72期(平成30年4月1日－平成31年3月31日)			1	2	14	12	1202848.0	8.1180001E9	1.36E8	1.27E8	5.2E7	6.9149998E9	2.19399987E9	2.19399987E9	3.5E7	30.0	43.87	1832.89			6.8665001E9	2.1934999E9	2.1934999E9		2.37	1.85	1.68	1.56	31.73	67.31	1.6	264.0	2336.0	211.0	1457.0	241.4
E02386	79880	5020001007855	株式会社ニフコ	2018	FY	2019-06-21	2018-04-01	2019-03-31	S100G2KB	有価証券報告書－第67期(平成30年4月1日－平成31年3月31日)			1	1	7	12	1.07508952E8	2.88901988E11	2.88340009E10	2.87780004E10	2.07530004E10	2.84842E11	1.60689996E11	1.58786994E11	6.4280003E9	62.0	199.9	1538.96			2.81974997E11	1.59025496E11	1.56697002E11		13.24	10.21	9.98	9.96	55.75	30.97	4.04	3625.0	4070.0	2437.0	2820.0	3073.0833333333335
E02387	72840	9021001020555	盟和産業株式会社	2018	FY	2019-06-27	2018-04-01	2019-03-31	S100G80R	有価証券報告書－第64期(平成30年4月1日－平成31年3月31日)			1	1	17	12	3502859.0	2.17630003E10	3.31E8	3.37E8	3.0E8	2.32420004E10	1.11660001E10	1.11660001E10	1.75E8	50.0	85.91	3189.88			2.32539996E10	1.1328E10	1.1328E10		2.65	1.45	1.52	1.55	48.04	58.33	1.54	1294.0	1361.0	900.0	1071.0	1180.9166666666667
